Egzersiz_Adi,Kategori,Ekipman,Aciklama
Axe Hold,Arms,Dumbbell,"Dambılları kavrayın, kollarınızı yana doğru uzatın ve yapabildiğiniz kadar uzun süre bu pozisyonda kalın."
Tricep Pushdown on Cable,Arms,Vücut Ağırlığı,"Kablo halatlı itme hareketi, triseps kaslarını hedefleyen popüler bir egzersizdir. Öğrenmesi ve uygulaması kolay olduğundan, yeni başlayanlardan ileri seviyedeki sporculara kadar herkesin favorisidir. Genellikle üst vücut veya kol odaklı bir antrenmanın parçası olarak, set başına 8-12 tekrar veya daha fazla olmak üzere orta ila yüksek tekrar sayılarıyla yapılır."
Step-ups,Legs,Bench,"Başlangıç ​​pozisyonu:

Bir sandalyeye doğru dönerek ayakta durun.

Adımlar:

1. Sandalyeye çıkın.

2. Sandalyeden inin.

3. Tekrarlayın."
commando pull-ups,Abs,Pull-up bar,"Şınav egzersizinin bir varyasyonu olan bu hareket, bir el sırtüstü, diğer el yüzüstü pozisyonda tutularak yapılır; öne doğru dönmek için gövdeyi döndürmeyin, baş bir kez bir yana, bir kez de diğer yana geçer."
Single Arm Plank to Row,Back,Kettlebell,"Başlangıç ​​pozisyonu kürek çekme, uzatma pozisyonundan plank pozisyonuna geçme ve tekrar başlama. Bitirme pozisyonunda kürek çekme ve tekrar etme."
Fingerboard 20 mm edge,Arms,Vücut Ağırlığı,20 mm kenarlı bir parmak tahtası üzerinde 10 saniye boyunca asılı kalın.
Incline Bench Reverse Fly,Back,Dumbbell,"Eğimli dambıl ters kanat açma hareketi, üst vücut kaslarını (arka deltoidler) ve üst sırtın duruş kaslarını hedefleyen bir egzersizdir. Bu kadar küçük kasları hedeflediği için, bu egzersiz genellikle hafif ağırlıklarla ve yüksek tekrar sayılarıyla, örneğin set başına 10-15 tekrar veya daha fazla sayıda yapılır."
Handstand Push Up,Shoulders,Vücut Ağırlığı,"El üstü şınav, yüksek beceri seviyesi gerektiren bir egzersizdir."
Zone 2 Running,Cardio,Vücut Ağırlığı,"Bölge 2 Kardiyo (dayanıklılık için), koşarken konuşabilmelisiniz."
LYING DUMBBELL ROW SS SEATED SHRUG,Back,Dumbbell,Hafif eğimli bir bankta yüzüstü yatmak
Suspended crossess,Cardio,none (bodyweight exercise),Göğüs kası antrenmanı için TRX ile askı egzersizi
Biceps with TRX,Abs,none (bodyweight exercise),"TRX kayışlarının tutacaklarını kavrayın, vücudunuzu geriye doğru yaslayın, kollarınızı ve bacaklarınızı uzatın, vücudunuzu tek bir düz çizgi halinde konumlandırın. (Bu bir kol egzersizidir, karın egzersizi değildir.)"
Kettlebell Swing,Abs,Kettlebell,"Kettlebell sallama hareketi tüm vücudu çalıştıran bir egzersiz olsa da, çoğunlukla arka kas zincirindeki (vücudun arka kısmı) kasları hedef alır. Kullanılan başlıca kaslar kalça kasları, hamstringler, omurga dikleştirici kaslar ve üst sırt kaslarıdır."
Swimming 50m sprints,Cardio,Vücut Ağırlığı,1 dakika hızında 50 metrelik yüzme sprintleri
